id,Tm
1022,338.09661865234375
1146,366.63397216796875
79,210.12359619140625
2279,190.3677215576172
1342,260.25091552734375
2082,346.31475830078125
29,342.0079345703125
515,339.46588134765625
2309,248.2632293701172
1177,220.3428497314453
553,271.31268310546875
179,278.22174072265625
1441,305.7423095703125
1457,267.09332275390625
1085,259.9136657714844
2344,336.7621765136719
848,320.7183532714844
176,243.8117218017578
3282,574.9039916992188
2743,173.6852264404297
2308,219.18507385253906
2648,141.802490234375
71,602.0786743164062
498,185.77560424804688
366,330.9639892578125
193,157.11399841308594
18,644.2787475585938
9,735.4373168945312
684,374.2698059082031
558,279.093017578125
2831,425.3548583984375
2443,334.8244934082031
2795,265.3084716796875
714,196.20542907714844
2626,326.1205139160156
613,284.95159912109375
2380,358.54681396484375
2459,233.488525390625
1619,222.9097900390625
2176,304.57391357421875
1599,227.28648376464844
2992,219.46710205078125
1715,206.8693389892578
2689,163.28697204589844
873,110.90953063964844
1039,338.22930908203125
3213,315.53326416015625
3066,236.48922729492188
2702,278.38897705078125
1339,347.2686462402344
2332,291.438232421875
1758,396.0678405761719
2198,125.62043762207031
1324,301.8616943359375
1386,244.08302307128906
1322,281.75164794921875
846,280.1427001953125
1145,280.05511474609375
992,328.5686340332031
416,252.2234649658203
243,267.6624755859375
1197,350.6523742675781
2519,209.33763122558594
1269,282.4363098144531
2632,355.2533264160156
1070,193.63975524902344
2410,271.4077453613281
3037,312.3164978027344
2868,276.42449951171875
3130,290.33038330078125
283,272.38128662109375
1891,371.457275390625
2553,171.22994995117188
1700,189.23960876464844
1719,192.60227966308594
2880,291.92529296875
2731,150.4722900390625
752,209.356689453125
434,311.317138671875
126,155.0845489501953
3252,288.54290771484375
2132,213.77883911132812
51,215.8095245361328
780,309.1177978515625
3269,273.75494384765625
804,327.8150634765625
2028,153.37350463867188
555,271.2288818359375
3183,254.22337341308594
770,279.54803466796875
501,267.9588623046875
623,309.04730224609375
499,203.47727966308594
1896,228.3033905029297
224,187.22314453125
1620,126.865966796875
2952,211.45680236816406
2092,372.416015625
1602,180.9981231689453
290,319.534423828125
1687,230.5001983642578
1153,248.21884155273438
957,218.3777313232422
2468,256.6629333496094
3314,457.56732177734375
1224,505.1880798339844
2517,293.99853515625
921,287.33563232421875
964,275.88507080078125
1740,157.96607971191406
2361,282.21087646484375
1660,274.9183654785156
2522,193.8870391845703
519,277.615966796875
2156,162.82131958007812
2159,139.12979125976562
3050,323.92169189453125
453,251.2906494140625
2595,333.6837158203125
2704,320.9952087402344
436,326.47723388671875
130,102.14342498779297
81,173.47230529785156
1027,301.56903076171875
2797,336.1795654296875
2669,237.3824005126953
